sep=;
from;to;distance;time
De Meern;A Klinieken;17.951835;20.05575
A Klinieken;De Meern;18.748105;18.358616666666663
A Klinieken;Andros Clinics Rijswijk;71.252552;49.909416666666665
A Klinieken;Annadal kliniek;181.698608;131.73288333333332
Andros Clinics Rijswijk;A Klinieken;73.246864;50.20719999999999
Annadal kliniek;A Klinieken;177.418464;137.84065
De Meern;Andros Clinics Rijswijk;53.563275;36.821016666666665
De Meern;Annadal kliniek;174.524215;127.21886666666666
De Meern;Annadal kliniek Poli;174.524215;127.21886666666666
De Meern;Annatommie Amstelveen;33.869982;27.81553333333333
De Meern;Annatommie Utrecht;3.928267;4.846683333333333
De Meern;Arthrex;4.643877000000001;5.961733333333333
De Meern;Cosmed Bosch en Duin OK;18.562758;21.203566666666667
De Meern;Cosmed Bosch en Duin Poli;18.562758;21.203566666666667
De Meern;Denticien;53.795906;38.19475
De Meern;Dermaclinic Utrecht;8.598807;12.0228
De Meern;Doctors at soap;8.343729999999999;11.774133333333332
De Meern;EQA - Velthuis Kliniek Amsterdam;30.043248;24.31853333333333
De Meern;EQA - Xpert Clinic Hand Amsterdam;30.043248;24.31853333333333
De Meern;EQA - Xpert Clinic Proctologie Amsterdam;30.043248;24.31853333333333
De Meern;EQA - Xpert Orthopedie Amsterdam;30.043248;24.31853333333333
De Meern;EQEI - Velthuis Kliniek Eindhoven;88.31755100000001;61.57121666666667
De Meern;EQEI - Xpert Clinic Hand Eindhoven;88.31755100000001;61.57121666666667
De Meern;EQEI - Xpert Clinic Proctologie Eindhoven;88.31755100000001;61.57121666666667
De Meern;EQEI - Xpert Orthopedie Eindhoven;88.31755100000001;61.57121666666667
De Meern;EQEI - Xpert Orthopedie Schijndel;64.434998;47.63881666666667
De Meern;EQEN - Velthuis Kliniek Enschede;138.779137;103.2025
De Meern;EQEN - Xpert Clinic Hand Enschede;138.779137;103.2025
De Meern;EQEN - Xpert Clinic Proctologie Enschede;138.779137;103.2025
De Meern;EQR - Velthuis Kliniek Rotterdam;47.749805;33.713233333333335
De Meern;EQR - Xpert Clinic Hand Rotterdam;47.749805;33.713233333333335
De Meern;EQR - Xpert Clinic Proctologie Rotterdam;47.749805;33.713233333333335
De Meern;EQR - Xpert Orthopedie Rotterdam;47.749805;33.713233333333335
De Meern;EQRZD - Hand pols Rozendaal;69.871981;48.77543333333333
De Meern;EQRZD - Orthopedie Rozendaal;69.871981;48.77543333333333
De Meern;Equip Amsterdam;30.043248;24.31853333333333
De Meern;Equipe Enschede;30.043248;24.31853333333333
